Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level,Job Link
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, Asyncio, Twisted",OpenVPN,Senior,https://nofluffjobs.com/pl/job/senior-python-engineer-openvpn-remote-2
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, FastAPI, Django",First Derivative,Senior,https://nofluffjobs.com/pl/job/mid-senior-python-developer-first-derivative-remote
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, Django, Relational database",Milo Solutions OÜ,Senior,https://nofluffjobs.com/pl/job/senior-python-django-developer-milo-solutions-ou-remote
Not specified,Zdalnie,Not specified,Not specified,"Fullstack, Python, JavaScript, API",Link Group,Mid,https://nofluffjobs.com/pl/job/full-stack-engineer-python-js-remote-link-group
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, AI, .NET",Euvic S.A.,Senior,https://nofluffjobs.com/pl/job/senior-ai-developer-net-python-euvic-remote
Not specified,Warszawa,Not specified,Not specified,"Backend, Python, FastAPI, NoSQL",Atende Industries Sp. z o.o.,Senior,https://nofluffjobs.com/pl/job/starszy-programista-python-atende-industries-warszawa-1
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, Django, REST API",Infogain Technologies Sp. z o.o.,Senior,https://nofluffjobs.com/pl/job/senior-software-engineer-python-django-infogain-technologies-remote
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, Degree, Unit testing",HBM,Senior,https://nofluffjobs.com/pl/job/senior-python-developer-ukrainian-team-hbm-remote
Not specified,Zdalnie,Not specified,Not specified,"Fullstack, Python, React, JavaScript",Order Group,Mid,https://nofluffjobs.com/pl/job/fullstack-developer-python-javascript-order-group-remote
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, HTML, CSS",SNI,Senior,https://nofluffjobs.com/pl/job/senior-python-developer-sni-remote
Not specified,Zdalnie,Not specified,Not specified,"Fullstack, Python, Django, Flask",STX Next,Senior,https://nofluffjobs.com/pl/job/senior-full-stack-developer-python-vue-stx-next-remote
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, Microservices architecture, K8s",Holisticon Connect,Senior,https://nofluffjobs.com/pl/job/senior-python-backend-engineer-holisticon-connect-remote
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, FastAPI, Flask",Link Group,Senior,https://nofluffjobs.com/pl/job/senior-python-developer-azure-gcp-link-group-remote
Not specified,Warszawa,Not specified,Not specified,"Backend, Python, Django, AWS",Twisto Polska Sp. z o.o.,Mid,https://nofluffjobs.com/pl/job/python-developer-twisto-polska-warszawa
Not specified,Zdalnie,Not specified,Not specified,"Fullstack, Python, REST, Git",KRZ Rafał Zdyb,Mid,https://nofluffjobs.com/pl/job/python-software-developer-remote-or-on-site-krz-rafal-zdyb
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, REST, SQL",N-iX,Senior,https://nofluffjobs.com/pl/job/senior-python-engineer-n-ix-remote-6
Not specified,Zdalnie,Not specified,Not specified,"Fullstack, Python, Communication skills, JavaScript",Proxet,Senior,https://nofluffjobs.com/pl/job/full-stack-python-and-react-developer-proxet-remote
Not specified,Zdalnie,Not specified,Not specified,"Fullstack, Python, React, AWS",1dea,Expert,https://nofluffjobs.com/pl/job/lead-fullstack-developer-python-react-aws-1dea-remote
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, TensorFlow, Cloud",1dea,Senior,https://nofluffjobs.com/pl/job/senior-genai-ml-engineer-python-1dea-remote-1
Not specified,Zdalnie,Not specified,Not specified,"Backend, Python, Elasticsearch, MongoDB",Adaptiq,Senior,https://nofluffjobs.com/pl/job/python-engineer-adaptiq-remote-2
Senior Python Backend Developer,Łódź,Not specified,Not specified,"Backend, Python, Git, REST",ELESTER Sp z o.o.,Senior,https://nofluffjobs.com/pl/job/senior-python-backend-developer-elester-lodz
Python Developer (with Wowza experience),Zdalnie,21 840,25 200,"Backend, Python, AWS, Node.js",7N,Mid,https://nofluffjobs.com/pl/job/python-developer-with-wowza-experience-7n-remote
Senior Python Engineer (Dev Experience),Zdalnie,Not specified,Not specified,"Backend, Python, Django, RabbitMQ",PandaDoc,Senior,https://nofluffjobs.com/pl/job/senior-python-engineer-dev-experience-pandadoc-remote
"Senior Python Engineer, (monolith decomposition/domain ownership)",Zdalnie,27 000,30 000,"Backend, Python, Django, RabbitMQ",PandaDoc,Senior,https://nofluffjobs.com/pl/job/senior-python-engineer-monolith-decomposition-domain-ownership-pandadoc-remote
Senior FullStack Python Developer,Zdalnie,Not specified,Not specified,"Fullstack, Python, Angular, React",Euvic S.A.,Senior,https://nofluffjobs.com/pl/job/senior-fullstack-python-developer-euvic-remote
Senior Python Developer (Digital Healthcare),Zdalnie,10 643,21 286,"Backend, Python, Security, FastAPI",RemoteBranch.io,Senior,https://nofluffjobs.com/pl/job/senior-python-developer-digital-healthcare-remotebranch-io-remote
SQL Developer with Python,Łódź,Not specified,Not specified,"Backend, Python, SQL, angielski",CommerzBank,Mid,https://nofluffjobs.com/pl/job/sql-developer-with-python-commerzbank-lodz
Senior Python Developer,Kraków,20 000,25 000,"Backend, Python, pandas, NumPy",HSBC Technology Poland,Senior,https://nofluffjobs.com/pl/job/senior-python-developer-hsbc-technology-poland-krakow
Technical Leader (Python & Scala),Zdalnie,Not specified,Not specified,"Backend, Python, Flask, Microsoft SQL Server",Euvic S.A.,Senior,https://nofluffjobs.com/pl/job/technical-leader-python-scala-euvic-remote
Python Developer (AI/genAI),Zdalnie,18 000,22 000,"Backend, Python, FastAPI, NoSQL",Deviniti,Mid,https://nofluffjobs.com/pl/job/python-developer-ai-genai-deviniti-remote
Senior Backend / Python Cloud engineer,Poznań,23 520,30 240,"Backend, Python, REST API, FastAPI",Tangent,Senior,https://nofluffjobs.com/pl/job/senior-backend-python-cloud-engineer-tangent-poznan
T Hub - Python Developer,Warszawa,Not specified,Not specified,"Backend, Python, Git, SQL",T-Mobile Polska,Mid,https://nofluffjobs.com/pl/job/t-hub-python-developer-t-mobile-polska-warszawa
