Job Title,Location,Minimum Salary,Maximum Salary,Technologies,Company,Seniority Level
Python Developer (with Wowza experience),Zdalnie,21840,25200,"Backend, Python, AWS, Node.js",7N,Mid
"Senior Python Engineer, (monolith decomposition/domain ownership)",Zdalnie,27000,30000,"Backend, Python, Django, RabbitMQ",PandaDoc,Senior
Senior Python Developer (Digital Healthcare),Zdalnie,10643,21286,"Backend, Python, Security, FastAPI",RemoteBranch.io,Senior
Senior Python Developer,Kraków,20000,25000,"Backend, Python, pandas, NumPy",HSBC Technology Poland,Senior
Python Developer (AI/genAI),Zdalnie,18000,22000,"Backend, Python, FastAPI, NoSQL",Deviniti,Mid
Senior Backend / Python Cloud engineer,Poznań,23520,30240,"Backend, Python, REST API, FastAPI",Tangent,Senior
Back-End Software Engineer - Python / AI / ML,Zdalnie,30000,50000,"Backend, Python, SQL, Django",Knowde Inc.,Senior
Tech Lead (Python / Node),Bielsko-Biała,19000,21840,"Backend, Python, SQL, Miro",SoftKraft,Senior
Senior/Lead Python Backend Developer,Wrocław,18480,29400,"Backend, Python, Azure, angielski",Spyrosoft,Expert
Senior/Expert Python Developer,Zdalnie,26880,36960,"Backend, Python, FastAPI, Django",First Derivative,Senior
Python Developer,Wrocław,16000,18000,"Backend, Python, Django, SQL",VikingCo Poland Sp. z o.o.,Mid
Mid Python Fullstack Developer,Katowice,7000,10000,"Fullstack, Python, JavaScript, JQuery",COIG S.A.,Mid
Junior Python Developer,Zielona Góra,7900,14000,"Backend, Python, Django, SQL",B2C2 Ltd.,Junior
Backend Developer  NOWA,Zdalnie,23520,28560,"Backend, Python, Django, FastAPI",Lingaro,Senior
Software Engineer  NOWA,Zdalnie,34441,51662,"Backend, Python, IaC, Docker",Fathom Inc.,Senior
Generative AI Backend Developer (Azure),Zdalnie,27000,34500,"Backend, Python, C#, REST API",hubQuest,Mid
Senior Backend Engineer,Zdalnie,35000,54000,"Backend, Python, AWS, AI",DualEntry,Senior
Core Backend Developer,Zdalnie,20000,26000,"Backend, Python, REST API, MongoDB",plantecs,Mid
Lead FullStack Developer,Zdalnie,21400,32100,"Fullstack, Python, AWS, JavaScript",Montrose Software (Polska) Sp. z o.o.,Expert
Senior Backend Engineer,Zdalnie,39293,47835,"Backend, Python, Docker, Flask",Focal Systems,Senior
Lead Software Engineering,Warszawa,29400,34650,"Backend, Python, Scrum, Agile",smartpatient,Expert
Fullstack Developer,Zdalnie,28608,34330,"Fullstack, Python, TypeScript, AWS",Ework Group,Senior
Senior Software Engineer,Warszawa,18000,25000,"Backend, Python, Linux, Git",CloudFerro S.A,Senior
Junior Developer,Kraków,9000,11500,"Fullstack, Python, Web development, Ruby",u2i,Junior
Remote Senior Software Developer,Zdalnie,25000,28000,"Backend, Python, AWS, SQL",foodflov,Senior
AI/Full-Stack Developer,Zdalnie,34176,53400,"Backend, Python, angielski",Kenja K.K.,Senior
QA Automation Engineer with Python  NOWA,Zdalnie,12750,20000,"Testing, Python, CI/CD tools, Virtualization",CodiLime,Mid
Senior Firewall Engineer with Python  NOWA,Zdalnie,18000,29000,"Security, Python, Check Points firewalls, Network Security",CodiLime,Senior
Python Test Developer with DevOps  NOWA,Warszawa,25200,25200,"Testing, Python, Selenium, Postman",Sii Polska,Senior
Data Scientist (Python + GenAI)  NOWA,Zdalnie,24360,26880,"Data, Python, LLMs, pandas",emagine Sp. Z o.o.,Mid
"Senior Data Engineer (Python, SQL, AWS)  NOWA",Warszawa,25200,30240,"Data, Python, pandas, PySpark",Scalo,Senior
"Data Engineer (Python, AWS) - Remote  NOWA",Zdalnie,20160,23520,"Data, Python, dbt, SQL",Scalo,Mid
Senior Python Engineer (Computer Vision Team)  NOWA,Kraków,26000,36000,"Architecture, Python, Docker, Azure",Tesco Technology,Senior
Senior Firewall Engineer with Check Point and Python,Zdalnie,18000,29000,"Security, Python, Check Points firewalls, Network Security",CodiLime,Senior
Mid/Senior Network Engineer with Python - Remote,Zdalnie,16500,25000,"Testing, Python, Test automation, pytest",CodiLime,Mid
Automation Tester/QA (Python),Warszawa,15120,18480,"Testing, Python, Selenium, pytest",Scalo,Mid
Test Automation Engineer with Python,Kraków,10000,16000,"Testing, Python, CI/CD, C++",Motorola Solutions Systems Polska,Mid
Python Test Automation Engineer,Gdańsk,26880,26880,"Testing, Python, Confluence, SDLC",emagine Sp. Z o.o.,Senior
Python/Scala Developer - Remote,Zdalnie,16800,20160,"Data, Python, Scala, Spark",Link Group,Mid
Automation Tech Lead (Python),Zdalnie,28701,30751,"Testing, Python, Playwright, TypeScript",Adaptiq,Senior
Senior Automation Tester (Python),Gdynia,20160,24360,"Testing, Python, Git, BDD",Scalo,Senior
Tech Lead for Python Test Automation Developers,Warszawa,20000,29000,"Testing, Python, Team management, SQL",CloudFerro,Senior
Lider Zespołu Data Science – Python i Machine Learning,Warszawa,23000,28000,"Data, Python, Machine learning, scikit-learn",Respect Energy Holding S.A.,Senior
QA Automation Team Leader with Python Expertise,Zdalnie,26651,31981,"Testing, Python, Degree, API",Mend.io,Expert
Senior Power BI Engineer with Python skills,Zdalnie,20000,23000,"Business Intelligence, Python, Power BI, DAX",N-iX,Senior
Python Software Engineer for Big Data,Warszawa,18480,25200,"Data, Python, Spark, Databricks",AXA IT Solutions,Mid
Senior Python Developer,Zdalnie,23414,30128,"Data, Python, SQL, REST API",Plot.ai,Senior
Senior AI Engineer  NOWA,Zdalnie,28608,29502,"AI/ML, Python, Azure, FastAPI",SNI,Senior
Senior DevOps Engineer   NOWA,Katowice,16000,25000,"DevOps, Python, CI/CD, Jenkins",Jamf,Senior
Senior Test Automation Engineer  NOWA,Gdańsk,27720,27720,"Testing, Python, QA, Test automation",emagine Sp. Z o.o.,Senior
Senior Automation and Test Engineer  NOWA,Krakow,27300,32550,"DevOps, Python, Jenkins, Ansible",Mindbox S.A.,Senior
Senior Data Engineer  NOWA,Zdalnie,34000,40000,"Data, Python, SQL, dbt",Sunscrapers,Senior
Senior AI Engineer  NOWA,Zdalnie,26880,31920,"AI/ML, Python, AWS, Azure",Idego Group Sp. z o.o.,Senior
Senior Machine Learning Engineer  NOWA,Zdalnie,32088,37800,"AI/ML, Python, SQL, TensorFlow",OpenX,Senior
Senior Network Automation Test Engineer  NOWA,Zdalnie,23100,31500,"Testing, Python, Robot Framework, Networking",Amartus Polska Sp. z o.o.,Senior
Software QA Engineer with Networking - Remote  NOWA,Zdalnie,13000,23000,"Testing, Python, CI/CD tools, Jenkins",CodiLime,Mid
Data Scientist (BioPharma)  NOWA,Zdalnie,18480,22680,"Data, Python, Machine learning, NLP",Holisticon Connect,Mid
Data Scientist - Remote   NOWA,Zdalnie,17000,25000,"Data, Python, angielski",Link Group,Mid
Gen AI Platform Architect  NOWA,Zdalnie,26600,36650,"AI/ML, Python, AWS, Gen AI",Xebia sp. z o.o.,Expert
Data Scientist - 100% remote  NOWA,Zdalnie,21840,25200,"Data, Python, NLP, AWS",AVENGA,Mid
Senior Data Engineer -100% remote  NOWA,Zdalnie,28560,31920,"Data, Python, angielski, polski",AVENGA,Senior
Senior Data Engineer  NOWA,Zdalnie,24000,30000,"Data, Python, Big data, Data engineering",Grape Up,Senior
Senior Data Scientist Remote  NOWA,Zdalnie,20160,26880,"Data, Python, Data analysis, Machine learning",DS STREAM,Senior
Remote Data Engineer   NOWA,Zdalnie,15000,19000,"Data, Python, Data modelling, Storage",Kingfisher plc.,Mid
Senior Data Project Manager  NOWA,Zdalnie,16400,24601,"Data, Python, Data engineering, AWS",N-iX,Senior
Machine Learning Engineer  NOWA,Zdalnie,13500,21600,"AI/ML, Python, Machine learning, Data science",Boneffice System,Mid
Senior Bioinformatics Data Engineer - cBioPortal  NOWA,Zdalnie,23520,26880,"Data, Python, SQL, pandas",Holisticon Connect,Senior
Middle/Senior Data Engineer for Technology Office   NOWA,Zdalnie,20501,24601,"Data, Python, Databricks, dbt",N-iX,Senior
DevOps Engineer,Zdalnie,24601,28701,"DevOps, Python, Linux, Python/Go/Bash",Gett,Senior
Senior Cloud Data Engineer,Warszawa,25000,34000,"DevOps, Python, Data modeling, Data pipelines",Link Group,Senior
Senior Data Engineer,Zdalnie,18450,24601,"Data, Python, Azure, MySQL",N-iX,Senior
Senior Data Engineer,Zdalnie,18000,25000,"Data, Python, SQL, T-SQL",XTB,Senior
Data Architect,Zdalnie,28560,31080,"Data, Python, Databricks, Azure Data Factory",AVENGA,Mid
BI/Data Engineer for Data Warehouse,Zdalnie,12771,23414,"Data, Python, BI, DWH",Manpower Group,Mid
"Staff Software Engineer, AI Inference",Zdalnie,20501,41002,"AI/ML, Python, Public cloud, GCP",Speechify,Senior
Data Analyst,Kraków,30240,33600,"Data, Python, Azure Databricks, TDD",Mindbox S.A.,Mid
Lead Data Scientist / ML Engineer,Zdalnie,19320,28560,"AI/ML, Python, Machine learning, Data science",Addepto,Senior
Data Scientist / ML Engineer,Zdalnie,16800,28560,"AI/ML, Python, Machine learning, Data science",Addepto,Senior
Data Engineer,Wrocław,23520,26880,"Data, Python, Azure Data Factory, Azure Databricks",AVENGA,Mid
"Software Engineering Manager (AI, Knowledge Platform)",Zdalnie,30000,35000,"AI/ML, Python, People Management, SDLC",Infermedica Sp z.o.o,Senior
Data Scientist - Computer Vision,Kraków,20000,27000,"Data, Python, Testing, Docker",Tesco Technology,Mid
Bioinformatyk,Zdalnie,19320,23520,"Data, Python, R, Bash",AVENGA,Senior
Senior Test Automation Engineer (Python+Robot Framework),Warsaw,26880,26880,"Testing, Python, Git, Robot Framework",emagine Sp. Z o.o.,Senior
Remote Embedded Test Automation Engineer,Zdalnie,23520,30000,"Testing, Python, Communication skills, Git",int2code GmbH,Mid
Microsoft Azure DevOps Cloud Engineer (Azure WAF Engineer),Krakow,23100,27300,"DevOps, Python, Azure, IaaS",Mindbox S.A.,Senior
Databricks Expert/ Consultant,Zdalnie,25000,35000,"Data, Python, Databricks, Spark",Xebia sp. z o.o.,Expert
Senior MLOps Engineer,Kraków,30240,35280,"DevOps, Python, GCP, BigQuery",j-labs software specialist,Senior
Tester Automatyzujący,Warszawa,10080,15120,"Testing, Python, Test automation, Selenium",Goldenore  ITC Sp. z o.o.,Mid
Senior Data Engineer,Zdalnie,25500,33000,"Data, Python, DWH, Data pipelines",Proxet,Senior
Senior Machine Learning Engineer,Zdalnie,22000,28000,"AI/ML, Python, Machine learning, Communication skills",Tooploox,Senior
Software DevOps Engineer,Łódź,20000,30000,"DevOps, Python, Docker, C++",HEXAGON | Intergraph Polska Sp. z o.o.,Senior
Data Platform Engineer,Warszawa,20000,30000,"Data, Python, DevOps, Oracle DB",Schenker Technology Center (Warsaw) sp. z o.o.,Mid
PySpark Developer,Zdalnie,18480,21840,"Data, Python, Data engineering, Big data",Link Group,Senior
Data Scientist,Zdalnie,24000,30000,"Data, Python, NLP, AWS",Sii Polska,Senior
CI/CD Engineer,Warsaw,28560,28560,"DevOps, Python, SonarQube, Maven",emagine Sp. Z o.o.,Mid
ML/AI Engineer,Zdalnie,25200,33600,"AI/ML, Python, AI, Databricks",Lingaro,Expert
Data Engineer - Tech Lead (Ukrainian speaking),Zdalnie,28701,34851,"Data, Python, SQL, Databricks",Alcor,Expert
Application Security Engineer,Zdalnie,27720,33600,"Security, Python, BlackDuck, Nexus IQ",Avenga,Senior
Senior Data Engineer,Gdynia,25200,30240,"Data, Python, Spark, Big data",emagine Sp. Z o.o.,Senior
Senior Generative AI Data Scientist,Warszawa,14280,28560,"AI/ML, Python, AI, Data science",Spyrosoft,Senior
Mid AI/ML Engineer - 100% Remote,Zdalnie,10000,15000,"AI/ML, Python, TensorFlow, Machine learning",Camino Science sp. z o.o.,Mid
ML engineer / Data Scientist,Zdalnie,20160,21840,"Data, Python, MLOps, UI",ITFS Sp. z o.o.,Mid
Remote Junior/Mid Cloud Infrastructure Specialist / Infrastructure Operations Specialist,Zdalnie,10250,20501,"DevOps, Python, Bash, UNIX/Linux",Talentica,Mid
Senior Cloud DevOps Engineer,Kraków,15000,21000,"DevOps, Python, Cloud, Cloud platform",Motorola Solutions Systems Polska,Senior
Site Reliability Engineer Senior,Zdalnie,19000,20000,"DevOps, Python, Linux, Python/Golang",Akamai,Senior
Senior Site Reliability Engineer,Zdalnie,19000,20000,"DevOps, Python, Linux, Python/Golang",Akamai,Senior
